dataset,model1,model2,sig_val,p_val,better_model,better_f1,worse_model,worse_f1
musique,t5l-adapter,bertlc-lora,***,0.0,t5l-adapter,69.86,bertlc-lora,37.35
musique,t5l-adapter,bertlc-plain,***,0.0,t5l-adapter,69.86,bertlc-plain,62.44
musique,t5l-adapter,optb-lora,***,0.0,t5l-adapter,69.86,optb-lora,40.61
musique,t5l-adapter,optb-plain,***,0.0,t5l-adapter,69.86,optb-plain,58.44
musique,t5l-adapter,optl-lora,***,0.0,t5l-adapter,69.86,optl-lora,45.08
musique,t5l-adapter,optl-plain,,0.386,t5l-adapter,69.86,optl-plain,68.77
musique,t5l-adapter,rb-adapter,***,0.0,t5l-adapter,69.86,rb-adapter,51.17
musique,t5l-adapter,rb-lora,***,0.0,t5l-adapter,69.86,rb-lora,47.07
musique,t5l-adapter,rb-plain,***,0.0,t5l-adapter,69.86,rb-plain,61.13
musique,t5l-adapter,rl-adapter,*,0.018,t5l-adapter,69.86,rl-adapter,64.91
musique,t5l-adapter,rl-lora,***,0.0,t5l-adapter,69.86,rl-lora,57.4
musique,t5l-adapter,rl-plain,*,0.039,rl-plain,74.22,t5l-adapter,69.86
musique,t5l-adapter,t5b-adapter,***,0.0,t5l-adapter,69.86,t5b-adapter,61.07
musique,t5l-adapter,t5b-lora,***,0.0,t5l-adapter,69.86,t5b-lora,57.83
musique,t5l-adapter,t5b-plain,*,0.01,t5l-adapter,69.86,t5b-plain,63.97
musique,t5l-lora,bertbc-adapter,***,0.0,t5l-lora,68.37,bertbc-adapter,41.72
musique,t5l-lora,bertbc-lora,***,0.0,t5l-lora,68.37,bertbc-lora,13.14
musique,t5l-lora,bertbc-plain,***,0.0,t5l-lora,68.37,bertbc-plain,50.47
musique,t5l-lora,bertlc-adapter,***,0.0,t5l-lora,68.37,bertlc-adapter,50.41
musique,t5l-lora,bertlc-lora,***,0.0,t5l-lora,68.37,bertlc-lora,37.35
musique,t5l-lora,bertlc-plain,**,0.007,t5l-lora,68.37,bertlc-plain,62.44
musique,t5l-lora,optb-lora,***,0.0,t5l-lora,68.37,optb-lora,40.61
musique,t5l-lora,optb-plain,**,0.001,t5l-lora,68.37,optb-plain,58.44
musique,t5l-lora,optl-lora,***,0.0,t5l-lora,68.37,optl-lora,45.08
musique,t5l-lora,optl-plain,,0.447,optl-plain,68.77,t5l-lora,68.37
musique,t5l-lora,rb-adapter,***,0.0,t5l-lora,68.37,rb-adapter,51.17
musique,t5l-lora,rb-lora,***,0.0,t5l-lora,68.37,rb-lora,47.07
musique,t5l-lora,rb-plain,**,0.001,t5l-lora,68.37,rb-plain,61.13
musique,t5l-lora,rl-adapter,,0.076,t5l-lora,68.37,rl-adapter,64.91
musique,t5l-lora,rl-lora,***,0.0,t5l-lora,68.37,rl-lora,57.4
musique,t5l-lora,rl-plain,**,0.006,rl-plain,74.22,t5l-lora,68.37
musique,t5l-lora,t5b-adapter,**,0.003,t5l-lora,68.37,t5b-adapter,61.07
musique,t5l-lora,t5b-lora,***,0.0,t5l-lora,68.37,t5b-lora,57.83
musique,t5l-lora,t5b-plain,*,0.028,t5l-lora,68.37,t5b-plain,63.97
musique,t5l-lora,t5l-adapter,,0.193,t5l-adapter,69.86,t5l-lora,68.37
musique,t5l-plain,bertbc-adapter,***,0.0,t5l-plain,73.61,bertbc-adapter,41.72
musique,t5l-plain,bertbc-lora,***,0.0,t5l-plain,73.61,bertbc-lora,13.14
musique,t5l-plain,bertbc-plain,***,0.0,t5l-plain,73.61,bertbc-plain,50.47
musique,t5l-plain,bertlc-adapter,***,0.0,t5l-plain,73.61,bertlc-adapter,50.41
musique,t5l-plain,bertlc-lora,***,0.0,t5l-plain,73.61,bertlc-lora,37.35
musique,t5l-plain,bertlc-plain,***,0.0,t5l-plain,73.61,bertlc-plain,62.44
musique,t5l-plain,optb-lora,***,0.0,t5l-plain,73.61,optb-lora,40.61
musique,t5l-plain,optb-plain,***,0.0,t5l-plain,73.61,optb-plain,58.44
musique,t5l-plain,optl-lora,***,0.0,t5l-plain,73.61,optl-lora,45.08
musique,t5l-plain,optl-plain,,0.063,t5l-plain,73.61,optl-plain,68.77
musique,t5l-plain,rb-adapter,***,0.0,t5l-plain,73.61,rb-adapter,51.17
musique,t5l-plain,rb-lora,***,0.0,t5l-plain,73.61,rb-lora,47.07
musique,t5l-plain,rb-plain,***,0.0,t5l-plain,73.61,rb-plain,61.13
musique,t5l-plain,rl-adapter,**,0.002,t5l-plain,73.61,rl-adapter,64.91
musique,t5l-plain,rl-lora,***,0.0,t5l-plain,73.61,rl-lora,57.4
musique,t5l-plain,rl-plain,,0.381,rl-plain,74.22,t5l-plain,73.61
musique,t5l-plain,t5b-adapter,***,0.0,t5l-plain,73.61,t5b-adapter,61.07
musique,t5l-plain,t5b-lora,***,0.0,t5l-plain,73.61,t5b-lora,57.83
musique,t5l-plain,t5b-plain,***,0.0,t5l-plain,73.61,t5b-plain,63.97
musique,t5l-plain,t5l-adapter,*,0.015,t5l-plain,73.61,t5l-adapter,69.86
musique,t5l-plain,t5l-lora,**,0.001,t5l-plain,73.61,t5l-lora,68.37
adversarial_squad,bertbc-lora,bertbc-adapter,***,0.0,bertbc-adapter,45.51,bertbc-lora,17.88
adversarial_squad,bertbc-plain,bertbc-adapter,***,0.0,bertbc-plain,61.84,bertbc-adapter,45.51
adversarial_squad,bertbc-plain,bertbc-lora,***,0.0,bertbc-plain,61.84,bertbc-lora,17.88
adversarial_squad,bertlc-adapter,bertbc-adapter,***,0.0,bertlc-adapter,64.27,bertbc-adapter,45.51
adversarial_squad,bertlc-adapter,bertbc-lora,***,0.0,bertlc-adapter,64.27,bertbc-lora,17.88
adversarial_squad,bertlc-adapter,bertbc-plain,*,0.019,bertlc-adapter,64.27,bertbc-plain,61.84
adversarial_squad,bertlc-lora,bertbc-adapter,,0.315,bertlc-lora,46.26,bertbc-adapter,45.51
adversarial_squad,bertlc-lora,bertbc-lora,***,0.0,bertlc-lora,46.26,bertbc-lora,17.88
adversarial_squad,bertlc-lora,bertbc-plain,***,0.0,bertbc-plain,61.84,bertlc-lora,46.26
adversarial_squad,bertlc-lora,bertlc-adapter,***,0.0,bertlc-adapter,64.27,bertlc-lora,46.26
adversarial_squad,bertlc-plain,bertbc-adapter,***,0.0,bertlc-plain,72.47,bertbc-adapter,45.51
adversarial_squad,bertlc-plain,bertbc-lora,***,0.0,bertlc-plain,72.47,bertbc-lora,17.88
adversarial_squad,bertlc-plain,bertbc-plain,***,0.0,bertlc-plain,72.47,bertbc-plain,61.84
adversarial_squad,bertlc-plain,bertlc-adapter,***,0.0,bertlc-plain,72.47,bertlc-adapter,64.27
adversarial_squad,bertlc-plain,bertlc-lora,***,0.0,bertlc-plain,72.47,bertlc-lora,46.26
adversarial_squad,optb-lora,bertbc-adapter,***,0.0,optb-lora,61.83,bertbc-adapter,45.51
adversarial_squad,optb-lora,bertbc-lora,***,0.0,optb-lora,61.83,bertbc-lora,17.88
adversarial_squad,optb-lora,bertbc-plain,,0.466,bertbc-plain,61.84,optb-lora,61.83
adversarial_squad,optb-lora,bertlc-adapter,,0.063,bertlc-adapter,64.27,optb-lora,61.83
adversarial_squad,optb-lora,bertlc-lora,***,0.0,optb-lora,61.83,bertlc-lora,46.26
adversarial_squad,optb-lora,bertlc-plain,***,0.0,bertlc-plain,72.47,optb-lora,61.83
adversarial_squad,optb-plain,bertbc-adapter,***,0.0,optb-plain,78.55,bertbc-adapter,45.51
adversarial_squad,optb-plain,bertbc-lora,***,0.0,optb-plain,78.55,bertbc-lora,17.88
adversarial_squad,optb-plain,bertbc-plain,***,0.0,optb-plain,78.55,bertbc-plain,61.84
adversarial_squad,optb-plain,bertlc-adapter,***,0.0,optb-plain,78.55,bertlc-adapter,64.27
adversarial_squad,optb-plain,bertlc-lora,***,0.0,optb-plain,78.55,bertlc-lora,46.26
adversarial_squad,optb-plain,bertlc-plain,***,0.0,optb-plain,78.55,bertlc-plain,72.47
adversarial_squad,optb-plain,optb-lora,***,0.0,optb-plain,78.58,optb-lora,61.77
adversarial_squad,optl-lora,bertbc-adapter,***,0.0,optl-lora,78.95,bertbc-adapter,45.51
adversarial_squad,optl-lora,bertbc-lora,***,0.0,optl-lora,78.95,bertbc-lora,17.88
adversarial_squad,optl-lora,bertbc-plain,***,0.0,optl-lora,78.95,bertbc-plain,61.84
adversarial_squad,optl-lora,bertlc-adapter,***,0.0,optl-lora,78.95,bertlc-adapter,64.27
adversarial_squad,optl-lora,bertlc-lora,***,0.0,optl-lora,78.95,bertlc-lora,46.26
adversarial_squad,optl-lora,bertlc-plain,***,0.0,optl-lora,78.95,bertlc-plain,72.47
adversarial_squad,optl-lora,optb-lora,***,0.0,optl-lora,78.98,optb-lora,61.77
adversarial_squad,optl-lora,optb-plain,,0.36,optl-lora,78.98,optb-plain,78.58
adversarial_squad,optl-plain,bertbc-adapter,***,0.0,optl-plain,81.56,bertbc-adapter,45.51
adversarial_squad,optl-plain,bertbc-lora,***,0.0,optl-plain,81.56,bertbc-lora,17.88
adversarial_squad,optl-plain,bertbc-plain,***,0.0,optl-plain,81.56,bertbc-plain,61.84
adversarial_squad,optl-plain,bertlc-adapter,***,0.0,optl-plain,81.56,bertlc-adapter,64.27
adversarial_squad,optl-plain,bertlc-lora,***,0.0,optl-plain,81.56,bertlc-lora,46.26
adversarial_squad,optl-plain,bertlc-plain,***,0.0,optl-plain,81.56,bertlc-plain,72.47
adversarial_squad,optl-plain,optb-lora,***,0.0,optl-plain,81.59,optb-lora,61.77
adversarial_squad,optl-plain,optb-plain,**,0.003,optl-plain,81.59,optb-plain,78.58
adversarial_squad,optl-plain,optl-lora,**,0.008,optl-plain,81.59,optl-lora,78.98
adversarial_squad,rb-adapter,bertbc-adapter,***,0.0,rb-adapter,63.51,bertbc-adapter,45.51
adversarial_squad,rb-adapter,bertbc-lora,***,0.0,rb-adapter,63.51,bertbc-lora,17.88
adversarial_squad,rb-adapter,bertbc-plain,,0.104,rb-adapter,63.51,bertbc-plain,61.84
adversarial_squad,rb-adapter,bertlc-adapter,,0.258,bertlc-adapter,64.27,rb-adapter,63.51
adversarial_squad,rb-adapter,bertlc-lora,***,0.0,rb-adapter,63.51,bertlc-lora,46.26
adversarial_squad,rb-adapter,bertlc-plain,***,0.0,bertlc-plain,72.47,rb-adapter,63.51
adversarial_squad,rb-adapter,optb-lora,,0.115,rb-adapter,63.51,optb-lora,61.77
adversarial_squad,rb-adapter,optb-plain,***,0.0,optb-plain,78.58,rb-adapter,63.51
adversarial_squad,rb-adapter,optl-lora,***,0.0,optl-lora,78.98,rb-adapter,63.51
adversarial_squad,rb-adapter,optl-plain,***,0.0,optl-plain,81.59,rb-adapter,63.51
adversarial_squad,rb-lora,bertbc-adapter,***,0.0,rb-lora,50.25,bertbc-adapter,45.51
adversarial_squad,rb-lora,bertbc-lora,***,0.0,rb-lora,50.25,bertbc-lora,17.88
adversarial_squad,rb-lora,bertbc-plain,***,0.0,bertbc-plain,61.84,rb-lora,50.25
adversarial_squad,rb-lora,bertlc-adapter,***,0.0,bertlc-adapter,64.27,rb-lora,50.25
adversarial_squad,rb-lora,bertlc-lora,**,0.006,rb-lora,50.25,bertlc-lora,46.26
adversarial_squad,rb-lora,bertlc-plain,***,0.0,bertlc-plain,72.47,rb-lora,50.25
adversarial_squad,rb-lora,optb-lora,***,0.0,optb-lora,61.77,rb-lora,50.25
adversarial_squad,rb-lora,optb-plain,***,0.0,optb-plain,78.58,rb-lora,50.25
adversarial_squad,rb-lora,optl-lora,***,0.0,optl-lora,78.98,rb-lora,50.25
adversarial_squad,rb-lora,optl-plain,***,0.0,optl-plain,81.59,rb-lora,50.25
adversarial_squad,rb-lora,rb-adapter,***,0.0,rb-adapter,63.51,rb-lora,50.25
adversarial_squad,rb-plain,bertbc-adapter,***,0.0,rb-plain,72.97,bertbc-adapter,45.51
adversarial_squad,rb-plain,bertbc-lora,***,0.0,rb-plain,72.97,bertbc-lora,17.88
adversarial_squad,rb-plain,bertbc-plain,***,0.0,rb-plain,72.97,bertbc-plain,61.84
adversarial_squad,rb-plain,bertlc-adapter,***,0.0,rb-plain,72.97,bertlc-adapter,64.27
adversarial_squad,rb-plain,bertlc-lora,***,0.0,rb-plain,72.97,bertlc-lora,46.26
adversarial_squad,rb-plain,bertlc-plain,,0.335,rb-plain,72.97,bertlc-plain,72.47
adversarial_squad,rb-plain,optb-lora,***,0.0,rb-plain,72.99,optb-lora,61.77
adversarial_squad,rb-plain,optb-plain,***,0.0,optb-plain,78.58,rb-plain,72.99
adversarial_squad,rb-plain,optl-lora,***,0.0,optl-lora,78.98,rb-plain,72.99
adversarial_squad,rb-plain,optl-plain,***,0.0,optl-plain,81.59,rb-plain,72.99
adversarial_squad,rb-plain,rb-adapter,***,0.0,rb-plain,72.99,rb-adapter,63.51
adversarial_squad,rb-plain,rb-lora,***,0.0,rb-plain,72.99,rb-lora,50.25
adversarial_squad,rl-adapter,bertbc-adapter,***,0.0,rl-adapter,82.44,bertbc-adapter,45.51
adversarial_squad,rl-adapter,bertbc-lora,***,0.0,rl-adapter,82.44,bertbc-lora,17.88
adversarial_squad,rl-adapter,bertbc-plain,***,0.0,rl-adapter,82.44,bertbc-plain,61.84
adversarial_squad,rl-adapter,bertlc-adapter,***,0.0,rl-adapter,82.44,bertlc-adapter,64.27
adversarial_squad,rl-adapter,bertlc-lora,***,0.0,rl-adapter,82.44,bertlc-lora,46.26
adversarial_squad,rl-adapter,bertlc-plain,***,0.0,rl-adapter,82.44,bertlc-plain,72.47
adversarial_squad,rl-adapter,optb-lora,***,0.0,rl-adapter,82.46,optb-lora,61.77
adversarial_squad,rl-adapter,optb-plain,***,0.0,rl-adapter,82.46,optb-plain,78.58
adversarial_squad,rl-adapter,optl-lora,**,0.004,rl-adapter,82.46,optl-lora,78.98
adversarial_squad,rl-adapter,optl-plain,,0.224,rl-adapter,82.46,optl-plain,81.59
adversarial_squad,rl-adapter,rb-adapter,***,0.0,rl-adapter,82.46,rb-adapter,63.51
adversarial_squad,rl-adapter,rb-lora,***,0.0,rl-adapter,82.46,rb-lora,50.25
adversarial_squad,rl-adapter,rb-plain,***,0.0,rl-adapter,82.46,rb-plain,72.99
adversarial_squad,rl-lora,bertbc-adapter,***,0.0,rl-lora,70.72,bertbc-adapter,45.51
adversarial_squad,rl-lora,bertbc-lora,***,0.0,rl-lora,70.72,bertbc-lora,17.88
adversarial_squad,rl-lora,bertbc-plain,***,0.0,rl-lora,70.72,bertbc-plain,61.84
adversarial_squad,rl-lora,bertlc-adapter,***,0.0,rl-lora,70.72,bertlc-adapter,64.27
adversarial_squad,rl-lora,bertlc-lora,***,0.0,rl-lora,70.72,bertlc-lora,46.26
adversarial_squad,rl-lora,bertlc-plain,,0.069,bertlc-plain,72.47,rl-lora,70.72
adversarial_squad,rl-lora,optb-lora,***,0.0,rl-lora,70.73,optb-lora,61.77
adversarial_squad,rl-lora,optb-plain,***,0.0,optb-plain,78.58,rl-lora,70.73
adversarial_squad,rl-lora,optl-lora,***,0.0,optl-lora,78.98,rl-lora,70.73
adversarial_squad,rl-lora,optl-plain,***,0.0,optl-plain,81.59,rl-lora,70.73
adversarial_squad,rl-lora,rb-adapter,***,0.0,rl-lora,70.73,rb-adapter,63.51
adversarial_squad,rl-lora,rb-lora,***,0.0,rl-lora,70.73,rb-lora,50.25
adversarial_squad,rl-lora,rb-plain,*,0.025,rb-plain,72.99,rl-lora,70.73
adversarial_squad,rl-lora,rl-adapter,***,0.0,rl-adapter,82.46,rl-lora,70.73
adversarial_squad,rl-plain,bertbc-adapter,***,0.0,rl-plain,84.09,bertbc-adapter,45.51
adversarial_squad,rl-plain,bertbc-lora,***,0.0,rl-plain,84.09,bertbc-lora,17.88
adversarial_squad,rl-plain,bertbc-plain,***,0.0,rl-plain,84.09,bertbc-plain,61.84
adversarial_squad,rl-plain,bertlc-adapter,***,0.0,rl-plain,84.09,bertlc-adapter,64.27
adversarial_squad,rl-plain,bertlc-lora,***,0.0,rl-plain,84.09,bertlc-lora,46.26
adversarial_squad,rl-plain,bertlc-plain,***,0.0,rl-plain,84.09,bertlc-plain,72.47
adversarial_squad,rl-plain,optb-lora,***,0.0,rl-plain,84.11,optb-lora,61.77
adversarial_squad,rl-plain,optb-plain,***,0.0,rl-plain,84.11,optb-plain,78.58
adversarial_squad,rl-plain,optl-lora,***,0.0,rl-plain,84.11,optl-lora,78.98
adversarial_squad,rl-plain,optl-plain,*,0.022,rl-plain,84.11,optl-plain,81.59
adversarial_squad,rl-plain,rb-adapter,***,0.0,rl-plain,84.11,rb-adapter,63.51
adversarial_squad,rl-plain,rb-lora,***,0.0,rl-plain,84.11,rb-lora,50.25
adversarial_squad,rl-plain,rb-plain,***,0.0,rl-plain,84.11,rb-plain,72.99
adversarial_squad,rl-plain,rl-adapter,*,0.019,rl-plain,84.11,rl-adapter,82.46
adversarial_squad,rl-plain,rl-lora,***,0.0,rl-plain,84.11,rl-lora,70.73
adversarial_squad,t5b-adapter,bertbc-adapter,***,0.0,t5b-adapter,74.21,bertbc-adapter,45.45
adversarial_squad,t5b-adapter,bertbc-lora,***,0.0,t5b-adapter,74.21,bertbc-lora,17.88
adversarial_squad,t5b-adapter,bertbc-plain,***,0.0,t5b-adapter,74.21,bertbc-plain,61.81
adversarial_squad,t5b-adapter,bertlc-adapter,***,0.0,t5b-adapter,74.21,bertlc-adapter,64.2
adversarial_squad,t5b-adapter,bertlc-lora,***,0.0,t5b-adapter,74.21,bertlc-lora,46.28
adversarial_squad,t5b-adapter,bertlc-plain,,0.065,t5b-adapter,74.21,bertlc-plain,72.41
adversarial_squad,t5b-adapter,optb-lora,***,0.0,t5b-adapter,74.21,optb-lora,61.81
adversarial_squad,t5b-adapter,optb-plain,**,0.001,optb-plain,78.55,t5b-adapter,74.21
adversarial_squad,t5b-adapter,optl-lora,**,0.001,optl-lora,78.9,t5b-adapter,74.21
adversarial_squad,t5b-adapter,optl-plain,***,0.0,optl-plain,81.53,t5b-adapter,74.21
adversarial_squad,t5b-adapter,rb-adapter,***,0.0,t5b-adapter,74.21,rb-adapter,63.5
adversarial_squad,t5b-adapter,rb-lora,***,0.0,t5b-adapter,74.21,rb-lora,50.33
adversarial_squad,t5b-adapter,rb-plain,,0.137,t5b-adapter,74.21,rb-plain,73.04
adversarial_squad,t5b-adapter,rl-adapter,***,0.0,rl-adapter,82.41,t5b-adapter,74.21
adversarial_squad,t5b-adapter,rl-lora,***,0.0,t5b-adapter,74.21,rl-lora,70.69
adversarial_squad,t5b-adapter,rl-plain,***,0.0,rl-plain,84.07,t5b-adapter,74.21
adversarial_squad,t5b-lora,bertbc-adapter,***,0.0,t5b-lora,69.76,bertbc-adapter,45.45
adversarial_squad,t5b-lora,bertbc-lora,***,0.0,t5b-lora,69.76,bertbc-lora,17.88
adversarial_squad,t5b-lora,bertbc-plain,***,0.0,t5b-lora,69.76,bertbc-plain,61.81
adversarial_squad,t5b-lora,bertlc-adapter,***,0.0,t5b-lora,69.76,bertlc-adapter,64.2
adversarial_squad,t5b-lora,bertlc-lora,***,0.0,t5b-lora,69.76,bertlc-lora,46.28
adversarial_squad,t5b-lora,bertlc-plain,*,0.014,bertlc-plain,72.41,t5b-lora,69.76
adversarial_squad,t5b-lora,optb-lora,***,0.0,t5b-lora,69.76,optb-lora,61.81
adversarial_squad,t5b-lora,optb-plain,***,0.0,optb-plain,78.55,t5b-lora,69.76
adversarial_squad,t5b-lora,optl-lora,***,0.0,optl-lora,78.9,t5b-lora,69.76
adversarial_squad,t5b-lora,optl-plain,***,0.0,optl-plain,81.53,t5b-lora,69.76
adversarial_squad,t5b-lora,rb-adapter,***,0.0,t5b-lora,69.76,rb-adapter,63.5
adversarial_squad,t5b-lora,rb-lora,***,0.0,t5b-lora,69.76,rb-lora,50.33
adversarial_squad,t5b-lora,rb-plain,***,0.0,rb-plain,73.04,t5b-lora,69.76
adversarial_squad,t5b-lora,rl-adapter,***,0.0,rl-adapter,82.41,t5b-lora,69.76
adversarial_squad,t5b-lora,rl-lora,,0.197,rl-lora,70.69,t5b-lora,69.76
adversarial_squad,t5b-lora,rl-plain,***,0.0,rl-plain,84.07,t5b-lora,69.76
adversarial_squad,t5b-lora,t5b-adapter,***,0.0,t5b-adapter,74.21,t5b-lora,69.76
adversarial_squad,t5b-plain,bertbc-adapter,***,0.0,t5b-plain,74.75,bertbc-adapter,45.45
adversarial_squad,t5b-plain,bertbc-lora,***,0.0,t5b-plain,74.75,bertbc-lora,17.88
adversarial_squad,t5b-plain,bertbc-plain,***,0.0,t5b-plain,74.75,bertbc-plain,61.81
adversarial_squad,t5b-plain,bertlc-adapter,***,0.0,t5b-plain,74.75,bertlc-adapter,64.2
adversarial_squad,t5b-plain,bertlc-lora,***,0.0,t5b-plain,74.75,bertlc-lora,46.28
adversarial_squad,t5b-plain,bertlc-plain,*,0.027,t5b-plain,74.75,bertlc-plain,72.41
adversarial_squad,t5b-plain,optb-lora,***,0.0,t5b-plain,74.75,optb-lora,61.81
adversarial_squad,t5b-plain,optb-plain,**,0.003,optb-plain,78.55,t5b-plain,74.75
adversarial_squad,t5b-plain,optl-lora,**,0.001,optl-lora,78.9,t5b-plain,74.75
adversarial_squad,t5b-plain,optl-plain,***,0.0,optl-plain,81.53,t5b-plain,74.75
adversarial_squad,t5b-plain,rb-adapter,***,0.0,t5b-plain,74.75,rb-adapter,63.5
adversarial_squad,t5b-plain,rb-lora,***,0.0,t5b-plain,74.75,rb-lora,50.33
adversarial_squad,t5b-plain,rb-plain,*,0.048,t5b-plain,74.75,rb-plain,73.04
adversarial_squad,t5b-plain,rl-adapter,***,0.0,rl-adapter,82.41,t5b-plain,74.75
adversarial_squad,t5b-plain,rl-lora,***,0.0,t5b-plain,74.75,rl-lora,70.69
adversarial_squad,t5b-plain,rl-plain,***,0.0,rl-plain,84.07,t5b-plain,74.75
adversarial_squad,t5b-plain,t5b-adapter,,0.202,t5b-plain,74.75,t5b-adapter,74.21
adversarial_squad,t5b-plain,t5b-lora,***,0.0,t5b-plain,74.75,t5b-lora,69.76
adversarial_squad,t5l-adapter,bertbc-adapter,***,0.0,t5l-adapter,82.26,bertbc-adapter,45.45
adversarial_squad,t5l-adapter,bertbc-lora,***,0.0,t5l-adapter,82.26,bertbc-lora,17.88
adversarial_squad,t5l-adapter,bertbc-plain,***,0.0,t5l-adapter,82.26,bertbc-plain,61.81
adversarial_squad,t5l-adapter,bertlc-adapter,***,0.0,t5l-adapter,82.26,bertlc-adapter,64.2
adversarial_squad,t5l-adapter,bertlc-lora,***,0.0,t5l-adapter,82.26,bertlc-lora,46.28
adversarial_squad,t5l-adapter,bertlc-plain,***,0.0,t5l-adapter,82.26,bertlc-plain,72.41
adversarial_squad,t5l-adapter,optb-lora,***,0.0,t5l-adapter,82.26,optb-lora,61.81
adversarial_squad,t5l-adapter,optb-plain,**,0.002,t5l-adapter,82.26,optb-plain,78.55
adversarial_squad,t5l-adapter,optl-lora,**,0.004,t5l-adapter,82.26,optl-lora,78.9
adversarial_squad,t5l-adapter,optl-plain,,0.254,t5l-adapter,82.26,optl-plain,81.53
adversarial_squad,t5l-adapter,rb-adapter,***,0.0,t5l-adapter,82.26,rb-adapter,63.5
adversarial_squad,t5l-adapter,rb-lora,***,0.0,t5l-adapter,82.26,rb-lora,50.33
adversarial_squad,t5l-adapter,rb-plain,***,0.0,t5l-adapter,82.26,rb-plain,73.04
adversarial_squad,t5l-adapter,rl-adapter,,0.426,rl-adapter,82.41,t5l-adapter,82.26
adversarial_squad,t5l-adapter,rl-lora,***,0.0,t5l-adapter,82.26,rl-lora,70.69
adversarial_squad,t5l-adapter,rl-plain,*,0.024,rl-plain,84.07,t5l-adapter,82.26
adversarial_squad,t5l-adapter,t5b-adapter,***,0.0,t5l-adapter,82.26,t5b-adapter,74.21
adversarial_squad,t5l-adapter,t5b-lora,***,0.0,t5l-adapter,82.26,t5b-lora,69.76
adversarial_squad,t5l-adapter,t5b-plain,***,0.0,t5l-adapter,82.26,t5b-plain,74.75
adversarial_squad,t5l-lora,bertbc-adapter,***,0.0,t5l-lora,79.62,bertbc-adapter,45.45
adversarial_squad,t5l-lora,bertbc-lora,***,0.0,t5l-lora,79.62,bertbc-lora,17.88
adversarial_squad,t5l-lora,bertbc-plain,***,0.0,t5l-lora,79.62,bertbc-plain,61.81
adversarial_squad,t5l-lora,bertlc-adapter,***,0.0,t5l-lora,79.62,bertlc-adapter,64.2
adversarial_squad,t5l-lora,bertlc-lora,***,0.0,t5l-lora,79.62,bertlc-lora,46.28
adversarial_squad,t5l-lora,bertlc-plain,***,0.0,t5l-lora,79.62,bertlc-plain,72.41
adversarial_squad,t5l-lora,optb-lora,***,0.0,t5l-lora,79.62,optb-lora,61.81
adversarial_squad,t5l-lora,optb-plain,,0.196,t5l-lora,79.62,optb-plain,78.55
adversarial_squad,t5l-lora,optl-lora,,0.28,t5l-lora,79.62,optl-lora,78.9
adversarial_squad,t5l-lora,optl-plain,,0.086,optl-plain,81.53,t5l-lora,79.62
adversarial_squad,t5l-lora,rb-adapter,***,0.0,t5l-lora,79.62,rb-adapter,63.5
adversarial_squad,t5l-lora,rb-lora,***,0.0,t5l-lora,79.62,rb-lora,50.33
adversarial_squad,t5l-lora,rb-plain,***,0.0,t5l-lora,79.62,rb-plain,73.04
adversarial_squad,t5l-lora,rl-adapter,**,0.002,rl-adapter,82.41,t5l-lora,79.62
adversarial_squad,t5l-lora,rl-lora,***,0.0,t5l-lora,79.62,rl-lora,70.69
adversarial_squad,t5l-lora,rl-plain,***,0.0,rl-plain,84.07,t5l-lora,79.62
adversarial_squad,t5l-lora,t5b-adapter,***,0.0,t5l-lora,79.62,t5b-adapter,74.21
adversarial_squad,t5l-lora,t5b-lora,***,0.0,t5l-lora,79.62,t5b-lora,69.76
adversarial_squad,t5l-lora,t5b-plain,***,0.0,t5l-lora,79.62,t5b-plain,74.75
adversarial_squad,t5l-lora,t5l-adapter,***,0.0,t5l-adapter,82.26,t5l-lora,79.62
adversarial_squad,t5l-plain,bertbc-adapter,***,0.0,t5l-plain,84.15,bertbc-adapter,45.45
adversarial_squad,t5l-plain,bertbc-lora,***,0.0,t5l-plain,84.15,bertbc-lora,17.88
adversarial_squad,t5l-plain,bertbc-plain,***,0.0,t5l-plain,84.15,bertbc-plain,61.81
adversarial_squad,t5l-plain,bertlc-adapter,***,0.0,t5l-plain,84.15,bertlc-adapter,64.2
adversarial_squad,t5l-plain,bertlc-lora,***,0.0,t5l-plain,84.15,bertlc-lora,46.28
adversarial_squad,t5l-plain,bertlc-plain,***,0.0,t5l-plain,84.15,bertlc-plain,72.41
adversarial_squad,t5l-plain,optb-lora,***,0.0,t5l-plain,84.15,optb-lora,61.81
adversarial_squad,t5l-plain,optb-plain,***,0.0,t5l-plain,84.15,optb-plain,78.55
adversarial_squad,t5l-plain,optl-lora,***,0.0,t5l-plain,84.15,optl-lora,78.9
adversarial_squad,t5l-plain,optl-plain,*,0.018,t5l-plain,84.15,optl-plain,81.53
adversarial_squad,t5l-plain,rb-adapter,***,0.0,t5l-plain,84.15,rb-adapter,63.5
adversarial_squad,t5l-plain,rb-lora,***,0.0,t5l-plain,84.15,rb-lora,50.33
adversarial_squad,t5l-plain,rb-plain,***,0.0,t5l-plain,84.15,rb-plain,73.04
adversarial_squad,t5l-plain,rl-adapter,*,0.043,t5l-plain,84.15,rl-adapter,82.41
adversarial_squad,t5l-plain,rl-lora,***,0.0,t5l-plain,84.15,rl-lora,70.69
adversarial_squad,t5l-plain,rl-plain,,0.461,t5l-plain,84.15,rl-plain,84.07
adversarial_squad,t5l-plain,t5b-adapter,***,0.0,t5l-plain,84.15,t5b-adapter,74.21
